Month,Entertainment,Catering_Revenue,Meetings_And_Events,Room_Revenue,Other_Revenue,Sum
1,12604.4,46902,8674.6,73082,22290,163553
2,16633.2,39811,9942.3,69454,15006,150846.5
3,19335.6,11471.9,14686,60252,29001,134746.5
4,18823.1,13545.3,12590.5,60651,29181,134790.9
5,23047,26983.6,10132.5,64657,15921,140741.1
6,12172,20170.5,18404,78646.7,26708,156101.2
7,19926.5,20327.3,18324.8,88881.7,17062,164522.3
8,10269,35996.3,22062,61904,21774,152005.3
9,26322,26662.9,23741,59463.7,26158,162347.6
10,33204,34307.3,33587,52067,20934,174099.3
11,32718,24045.9,23741,56946.9,20052,157503.8
12,28457,48372.8,28587,40177.8,23489,169083.6
