Month,Hotel_Maintenance,Labor,Water_And_Electricity,Material_Procurement,Marketing_And_Publicity,Sum
1,50093.03,34391.12,29052.91,10379.15,22912.03,146828.24
2,48097.22,28346.41,22310.01,33623.2,19582.93,151959.77
3,50168.45,31505.39,19991.79,5866.43,36983.93,144515.99
4,48475.5,24254.29,11900.06,6345.1,12301.21,103276.16
5,50572.22,28694.72,26458.57,3046.12,12076.43,120848.06
6,48103.34,35965.98,20885.58,12289.83,27528.83,144773.56
7,50794.09,35434.73,14262.1,12476.41,31661.44,144628.77
8,48134.18,32809.13,15627.07,12850.8,12837.24,122258.42
9,50637.6,28411.34,26554.92,9646.81,14662.89,129913.56
10,48833.59,27668.22,25760.58,14161.81,17658.74,134082.94
11,50930.05,32335.24,13290.7,7544.49,16566.13,120666.61
12,50440.95,57172.25,10074.31,32262.17,22697.45,172647.13
